所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据治理-治理概览,验证平台引入hive类型meta数据源后删除数据源再引入-「数据治理概览」模块-「资源监控」图表展示正确,当前资产平台已引入HIVE类型的meta数据源,"1. 进入数据资产-数据治理页面
2. 点击【数据治理概览】
3. 进入数据资产-平台管理页面
4. 选择无hive_meta数据源的租户","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 正确展示【资源监控】图表，页面排版正确，内容与预期完全一致，无异常或错误
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 不展示【资源监控】图表，页面排版正确，内容与预期完全一致，无异常或错误",1
数据资产-数据治理-治理概览,验证平台引入hive类型meta数据源后删除数据源-「数据治理概览」模块-「资源监控」图表展示正确,当前资产平台已引入HIVE类型的meta数据源,"1. 进入数据资产-数据治理页面
2. 点击【数据治理概览】
3. 进入数据资产-平台管理页面
4. 选择hive_meta数据源，删除
5. 再次进入【数据治理概览】页面","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 正确展示【资源监控】图表，页面排版正确，内容与预期完全一致，无异常或错误
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 系统提示删除成功，该条记录从列表中消失，总记录数减1
5. 不展示【资源监控】图表，页面排版正确，内容与预期完全一致，无异常或错误",3
数据资产-数据治理-治理概览,验证平台引入hive类型meta数据源时-「数据治理概览」模块-「资源监控」图表展示正确,当前资产平台已引入HIVE类型的meta数据源,"1. 进入数据资产-数据治理页面
2. 点击【数据治理概览】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 正确展示【资源监控】图表，页面排版正确，内容与预期完全一致，无异常或错误",3
数据资产-数据治理-治理概览,验证平台未引入hive类型meta数据源时-「数据治理概览」模块-不展示「资源监控」图表,当前资产平台暂未引入HIVE类型的meta数据源,"1. 进入数据资产-数据治理页面
2. 点击【数据治理概览】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 不展示【资源监控】图表，页面排版正确，内容与预期完全一致，无异常或错误",2
