所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发,验证大数据量查询——验证spark SQL查询大数据量表时正常查询,无,"1. 进入【大数据量查询】页面
2. 新建spark SQL任务
3. 输入简单查询语句select count(*) from table（所查询表需满足条件：1.内含分区字段2.分区内存在巨量的数据，如10亿条数据）后保存
4. 进行临时运行
5. 点击下载","1. 成功进入【大数据量查询】页面，页面内容正常加载显示，无报错
2. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
3. sql任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
5. 下载成功，速度正常，内容正常显示",2
离线开发-数据开发,验证大数据量查询——验证spark SQL查询大数据量表时正常条件查询,无,"1. 进入【大数据量查询】页面
2. 新建spark SQL任务
3. 输入简单查询语句select * from table where limit 10（所查询表需满足条件：1.内含分区字段2.分区内存在巨量的数据，如10亿条数据）后保存
4. 进行临时运行
5. 点击下载","1. 成功进入【大数据量查询】页面，页面内容正常加载显示，无报错
2. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
3. sql任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
5. 下载成功，速度正常，内容正常显示",2
离线开发-数据开发,验证大数据量查询——验证spark SQL查询多分区表时正常查询,无,"1. 进入【大数据量查询】页面
2. 新建spark SQL任务
3. 输入简单查询语句select * from table（所查询表需满足条件：1.内含巨量分区字段）后保存
4. 进行临时运行
5. 点击下载","1. 成功进入【大数据量查询】页面，页面内容正常加载显示，无报错
2. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
3. sql任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
5. 下载成功，速度正常，内容正常显示",1
离线开发-数据开发,验证大数据量查询——验证spark SQL查询大数据量表时正常查询,无,"1. 进入【大数据量查询】页面
2. 新建spark SQL任务
3. 输入简单查询语句select * from table（所查询表需满足条件：1.内含分区字段2.分区内存在巨量的数据，如10亿条数据）后保存
4. 进行临时运行
5. 点击下载","1. 成功进入【大数据量查询】页面，页面内容正常加载显示，无报错
2. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
3. sql任务保存成功，系统给出保存成功提示，配置/数据已持久化，页面更新为最新状态
4. 1.任务运行成功2.所执行的sql语句产生对应的结果3.数据无乱码错位等异常
5. 下载成功，速度正常，内容正常显示",1
