所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-Inceptor计算引擎,验证同一租户同时绑定多个inceptor账户配置时，周期、手动、临时查询任务的临时运行正常使用已开启的账号权限控制,无,"1. 进入【离线开发】-【数据开发】-【临时查询】页面
2. 配置多个当前运行任务租户inceptor账号（其中一个账号有当前数据源的部分权限，其余都是全部权限，将部分权限的账号设置开启状态）
3. 新建inceptor sql周期、手动、临时查询任务，任务输入sql语句，点击保存-运行","1. 成功进入【离线开发】-【数据开发】-【临时查询】页面，页面内容正常加载显示，无报错
2. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
3. 任务新建成功，任务运行成功，结果符合预期，对于已开启的inceptor账号没有的sql权限，正常进行权限控制",2
离线开发-数据开发-Inceptor计算引擎,验证同时进行租户账号配置和项目配置时，周期、手动、临时查询任务的临时运行正常使用租户账号权限控制,无,"1. 进入【离线开发】-【数据开发】-【临时查询】页面
2. 项目管理配置inceptor账号（该账号有当前数据源的全部权限）
3. 配置当前运行任务租户inceptor账号（该账号有当前数据源的部分权限）
4. 新建inceptor sql周期、手动、临时查询任务，任务输入sql语句，点击保存-运行","1. 成功进入【离线开发】-【数据开发】-【临时查询】页面，页面内容正常加载显示，无报错
2. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
3. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
4. 任务新建成功，任务运行成功，结果符合预期，对于当前租户对应inceptor账号没有的sql权限，正常进行权限控制",2
离线开发-数据开发-Inceptor计算引擎,验证配置非运行任务租户账号权限时，对当前租户下任务运行无影响,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 配置非运行任务租户inceptor账号（该账号有当前数据源的全部权限）
3. 配置当前运行任务租户inceptor账号（该账号有当前数据源的部分权限）
4. 新建inceptor sql周期、手动、临时查询任务，任务输入sql语句，点击保存-运行","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
3. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
4. 任务新建成功，任务运行成功，结果符合预期，对于当前租户对应inceptor账号没有的sql权限，正常进行权限控制",2
离线开发-数据开发-Inceptor计算引擎,验证没有配置租户账号时，周期、手动、临时查询进行临时运行inceptor任务正常报错提示,无,"1. 进入【离线开发】-【数据开发】-【临时查询】页面
2. 控制台集群配置inceptor账号（该账号有当前数据源的全部权限）
3. 新建inceptor sql周期、手动、临时查询任务，任务输入sql语句，点击保存-运行","1. 成功进入【离线开发】-【数据开发】-【临时查询】页面，页面内容正常加载显示，无报错
2. 计算引擎添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 任务新建成功，任务运行失败，报错：“未配置个人数据库账号，无法进行临时运行”",2
离线开发-数据开发-Inceptor计算引擎,验证周期、手动、临时查询时进行临时运行inceptor任务正常使用个人账号控制权限,无,"1. 进入【离线开发】-【数据开发】-【临时查询】页面
2. 控制台集群配置inceptor账号（该账号有当前数据源的全部权限）
3. 租户下指定租户配置inceptor账号（该账号有当前数据源的部分权限）
4. 新建inceptor sql周期、手动、临时查询任务，任务输入sql语句，点击保存-运行","1. 成功进入【离线开发】-【数据开发】-【临时查询】页面，页面内容正常加载显示，无报错
2. 计算引擎添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
4. 任务新建成功，任务运行成功，结果符合预期，对于当前租户对应inceptor账号没有的sql权限，正常进行权限控制",1
离线开发-数据开发-Inceptor计算引擎,验证inceptor未配置项目账号正常使用控制台集群账号运行任务,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 控制台集群配置inceptor账号（该账号有当前数据源的全部权限）
3. 新建inceptor sql任务，任务输入sql语句，点击保存-提交
4. 点击上述任务操作列补数据运行","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 计算引擎添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 任务新建成功，任务提交成功，运维中心正常查看该任务
4. 补数据运行成功，任务正常运行，结果符合预期",2
离线开发-数据开发-Inceptor计算引擎,验证inceptor配置项目账号权限大于集群账号权限正常进行权限控制,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 控制台集群配置inceptor账号（该账号有当前数据源的部分权限）
3. 项目管理配置inceptor账号（该账号有当前数据源的全部权限）
4. 新建inceptor sql任务，任务输入sql语句，点击保存-提交
5. 点击上述任务操作列补数据运行","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 计算引擎添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
4. 任务新建成功，任务提交成功，运维中心正常查看该任务
5. 补数据运行成功，任务正常运行，结果符合预期，对于集群配置账号没有的权限也能正常运行，没有进行权限管控",2
离线开发-数据开发-Inceptor计算引擎,验证补数据、重跑、周期运行inceptor任务正常使用项目账号控制权限,无,"1. 进入数据开发模块，新建向导模式的数据同步任务
2. 控制台集群配置inceptor账号（该账号有当前数据源的全部权限）
3. 项目管理配置inceptor账号（该账号有当前数据源的部分权限）
4. 新建inceptor sql任务，任务输入sql语句，点击保存-提交
5. 点击上述任务操作列补数据、周期运行运行
6. 选中对应补数据、周期实例，点击重跑","1. 成功进入数据开发模块，新建向导模式的数据同步任务，页面内容正常加载显示，无报错
2. 计算引擎添加成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 账号配置成功，联通性正常，功能行为符合预期，无报错或异常
4. 任务新建成功，任务提交成功，运维中心正常查看该任务
5. 补数据、周期运行成功，任务正常运行，结果符合预期，对于项目管理账号没有的sql权限，正常进行权限控制
6. 补数据、周期重跑运行成功，任务正常运行，结果符合预期，对于项目管理账号没有的sql权限，正常进行权限控制",1
