所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-SQL语法,验证sql任务运行功能正常_本地插件模式,"<p>
  <p style=“font-size:14px;background-color:#FFFFFF;“>1、离线配置文件已经修改，修改内容如下</p>
  <p style=“font-size:14px;background-color:#FFFFFF;“>注释以下配置：</p>
  <p style=“font-size:14px;background-color:#FFFFFF;“>sqlparser.deploy.mode=remote</p>
  <p style=“font-size:14px;background-color:#FFFFFF;“>2、sqlparse服务停掉</p>
</p>","1. 进入【离线开发-数据开发-周期任务】页面，新建任意SQL任务，执行DML和DQL语句（包含create、insert、select语句）
2. 保存并提交SQL任务
3. 【运维中心】页面补数据运行SQL任务","1. SQL任务运行成功，查看离线日志sqlParse.parseSql method parse sql信息无报错
2. SQL任务保存并提交成功，系统给出提交成功提示，状态更新为下一处理阶段
3. SQL任务补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错",1
离线开发-数据开发-SQL语法,验证sql任务运行功能正常__rpc服务调用,"<p style=“font-size:14px;background-color:#FFFFFF;“>离线配置文件已经修改，修改内容如下</p>
<p style=“font-size:14px;background-color:#FFFFFF;“>新增参数：</p>
<p style=“font-size:14px;background-color:#FFFFFF;“>sqlparser.deploy.mode=remote<br />sqlparser.server.nodes=127.0.0.1:8569 #sqlparse部署节点</p>
<span></span>","1. 进入【离线开发-数据开发-周期任务】页面，新建任意SQL任务，执行DML和DQL语句（包含create、insert、select语句）
2. 保存并提交SQL任务
3. 【运维中心】页面补数据运行SQL任务
4. 将sqlparse服务停掉，再次运行步骤1的任务","1. SQL任务运行成功，查看离线日志sqlParse.parseSql method parse sql信息无报错
2. SQL任务保存并提交成功，系统给出提交成功提示，状态更新为下一处理阶段
3. SQL任务补数据运行成功，状态更新为【成功】，运行/执行结果符合预期，日志无报错
4. 运行失败",1
