所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据安全-分级管理,验证删除用户等级后对应功能正确,"<span style=“color:#27292A;font-family:NeverMindUI, -apple-system, BlinkMacSystemFont, ""background-color:rgba(245, 246, 247, 0.92);“>1.公共组件存在级别最高的用户等级名称：L1；</span><br /><span style=“color:#27292A;font-family:NeverMindUI, -apple-system, BlinkMacSystemFont, ""background-color:rgba(245, 246, 247, 0.92);“>级别第二高的用户等级名称：L2</span><br /><span style=“color:#27292A;font-family:NeverMindUI, -apple-system, BlinkMacSystemFont, ""background-color:rgba(245, 246, 247, 0.92);“>2.存在用户的级别名称为L1</span>","1. 进入【删除用户等级后对应功能正确】页面
2. 删除L1
3. 点击进入数据安全-级别管理-添加级别页面
4. 鼠标移至开放用户等级右边“？”图标
5. 查看[分级管理]列表
6. 登录级别名称为L1的用户，查看分级数据表的信息
7. 修改该用户级别名称为L2，查看分级数据表的信息","1. 成功进入【删除用户等级后对应功能正确】页面，页面内容正常加载显示，无报错
2. 删除成功，最高级别对应的级别名称为L2
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 显示提示信息：设置后，归属于该级别的字段只开放给对应用户等级的用户查看，默认开放给最高级别的用户
（L2级别表示最高级别用户，L2级以下等级用户均无查看权限）
5. 显示为公共组件自定义的名称：最高级别对应的开放用户等级更改为L2
6. 无法查看
7. 可以查看到正确信息",2
数据资产-数据安全-分级管理,验证编辑用户等级后对应功能正确,"<span style=“color:#27292A;font-family:NeverMindUI, -apple-system, BlinkMacSystemFont, ""background-color:rgba(245, 246, 247, 0.92);“>1.公共组件存在级别最高的用户等级名称：L1</span><br /><span style=“color:#27292A;font-family:NeverMindUI, -apple-system, BlinkMacSystemFont, ""background-color:rgba(245, 246, 247, 0.92);“>2.存在用户的级别名称为L1</span>","1. 进入【编辑用户等级后对应功能正确】页面
2. 编辑L1为L10
3. 点击进入数据安全-级别管理-添加级别页面
4. 鼠标移至开放用户等级右边“？”图标
5. 查看[分级管理]列表
6. 登录级别名称为L1的用户，查看分级数据表的信息
7. 修改该用户级别名称为L10，查看分级数据表的信息","1. 成功进入【编辑用户等级后对应功能正确】页面，页面内容正常加载显示，无报错
2. 编辑成功，最高级别的级别名称为L10
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 显示提示信息：设置后，归属于该级别的字段只开放给对应用户等级的用户查看，默认开放给最高级别的用户
（L10级别表示最高级别用户，L10级以下等级用户均无查看权限）
5. 显示为公共组件自定义的名称：最高级别对应的开放用户等级更改为L10
6. 无法查看
7. 可以查看到正确信息",2
数据资产-数据安全-分级管理,验证新增最高级别后对应功能正确,"<span style=“color:#27292A;font-family:NeverMindUI, -apple-system, BlinkMacSystemFont, ""background-color:rgba(245, 246, 247, 0.92);“>1.公共组件存在级别最高的用户等级名称：L1</span><br /><span style=“color:#27292A;font-family:NeverMindUI, -apple-system, BlinkMacSystemFont, ""background-color:rgba(245, 246, 247, 0.92);“>2.存在用户的级别名称为L1</span>","1. 进入【新增最高级别后对应功能正确】页面
2. 新增一个最高级别，对应级别名称为L20
3. 点击进入数据安全-级别管理-添加级别页面
4. 鼠标移至开放用户等级右边“？”图标
5. 查看[分级管理]列表
6. 登录级别名称为L1的用户，查看分级数据表的信息
7. 修改该用户级别名称为L20，查看分级数据表的信息","1. 成功进入【新增最高级别后对应功能正确】页面，页面内容正常加载显示，无报错
2. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 显示提示信息：设置后，归属于该级别的字段只开放给对应用户等级的用户查看，默认开放给最高级别的用户
（L20级别表示最高级别用户，L20级以下等级用户均无查看权限）
5. 显示为公共组件自定义的名称：最高级别对应的开放用户等级更改为L20
6. 无法查看
7. 可以查看到正确信息",2
数据资产-数据安全-分级管理,验证数据安全-级别管理-添加级别的开放用户等级提示内容修改,无；点击,"1. 进入数据安全-级别管理-添加级别页面
2. 鼠标移至开放用户等级右边“？”图标
3. 查看“xx”取值","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 显示提示信息：设置后，归属于该级别的字段只开放给对应用户等级的用户查看，默认开放给最高级别的用户
（xx级别表示最高级别用户，xx级以下等级用户均无查看权限）
3. 取公共组件自定义的最高级别用户等级名称",2
