所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发,验证【创建项目】existAssets 接口是否多次调用,无,"1. 进入【项目列表-创建项目】,检查进入【创建项目】页面调用的existAssets接口",1. 功能操作成功，无重复请求，页面状态正常,1
离线开发-数据开发,验证【数据地图】数据表管理-项目名称展示正常,无,"1. 进入【数据地图-数据表管理】页面, 点击【项目名称】下拉框, 检查下拉列表数据",1. 下拉列表内容正常，功能行为符合预期，无报错或异常,1
离线开发-数据开发,验证【数据地图】查找数据-项目名称展示正常,无,"1. 进入【数据地图-查找数据】页面, 点击【项目名称】下拉框, 检查下拉列表数据",1. 下拉列表内容显示正常，功能行为符合预期，无报错或异常,1
离线开发-数据开发,验证【数据开发】fileCopy 任务中的数据源下拉框数据展示正常,提前配置好filecopy任务,"1. 进入【数据开发-周期任务】页面, 右击【任务开发】, 选择新建filecopy任务
2. 点击【数据源】下拉框, 检查下拉列表数据","1. 系统提示新建成功，列表顶部出现新建的记录，记录内容与填写一致
2. 显示Hive数据源和ftp",1
离线开发-数据开发,验证【数据开发】数据同步脚本模式-导入模版中的数据源下拉框的数据展示正常,无,"1. 进入【数据开发-周期任务】页面, 右击【任务开发】, 新建一个【数据同步-脚本模式】任务
2. 新建任务后, 点击【导入模版】
3. 【来源类型】选择「数据源A(如:[⚠️F04 请替换为具体测试数据] MySQL)」, 检查【数据源】的下拉框内容
4. 【目标类型】选择【数据源A(如: MySQL)】, 检查【数据源】的下拉框内容","1. 1) 弹出【新建周期任务】弹窗2) 【周期任务类型】 默认选中【数据同步】3) 【配置模式】选中【脚本模式】
2. 1) 弹出【导入模版】弹窗2) 展示字段: 来源类型、数据源、目标类型、数据源
3. 下拉列表内容与【数据源】列表中【数据源A(MySQL)】的所有数据源记录保持一致
4. 下拉列表内容与【数据源】列表中【数据源A(MySQL)】的所有数据源记录保持一致",1
离线开发-数据开发,验证【数据开发】数据同步-来源和目标的数据源下拉框的数据展示正常,无,"1. 进入【数据开发-周期任务】页面, 右击【任务开发】, 选择新建任务
2. 【周期任务名称】输入不重复且无特殊字符的内容, 其他选项保持默认, 点击【确定】
3. 点击【数据源】下拉框, 检查下拉列表数据","1. 1) 弹出【新建周期任务】弹窗2) 【周期任务类型】 默认选中【数据同步】3) 【周期任务名称】为空
2. 表单提交成功, 进入到【数据同步】任务
3. 下拉列表内容与【数据源】列表中的记录保持一致",1
离线开发-数据开发,验证【数据开发】批量操作-数据源下拉框内的数据展示正常,无,"1. 进入【数据开发-批量操作】页面, 点击【数据源】下拉框",1. 下拉列表内容与【数据源】列表中的记录保持一致,1
离线开发-数据开发,验证「数据源-整库同步-数据源同步目标」中下拉框内的数据源展示正常,无,"1. 进入【数据源-整库同步】页面, 点击【数据同步目标】下拉框, 检查下拉列表数据","1. 除DM数据源外, 下拉列表数据与【数据源】列表中的记录保持一致",1
