所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发-数据同步,验证新增数据同步后可正常编辑该任务,无,"1. 进入hadoop不对接或创建schema的项目中
2. 右键数据同步任务test_tongbu_001，点击编辑","1. 成功进入hadoop不对接或创建schema的项目中页面，页面内容正常加载显示，无报错
2. 显示编辑弹窗，名称、模式、位置、描述均可正常编辑",3
离线开发-数据开发-数据同步,验证非spark sql任务中没有数据同步按钮,无,"1. 进入hadoop不对接或创建schema的项目中
2. 创建非spark sql任务","1. 成功进入hadoop不对接或创建schema的项目中页面，页面内容正常加载显示，无报错
2. 任务创建成功，菜单栏没有数据同步按钮",3
离线开发-数据开发-数据同步,验证hadoop不对接或创建的项目中，spark sql任务中没有数据同步按钮,无,"1. 进入hadoop不对接或创建schema的项目中
2. 创建spark sql任务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 任务创建成功，菜单栏没有数据同步按钮",3
离线开发-数据开发-数据同步,验证sparksql语句为其他情况时表名显示情况,无,"1. 进入hadoop不对接或创建schema的项目中
2. 新建spark sql任务
3. 输入sql语句后点击保存（sql不包含insert into语句，或多个insert into语句，或语法错误的insert into语句，或insert into select语句）
4. 点击数据同步按钮
5. 输入周期任务名称点击确定
6. 其余选项输入正确的内容，点击下一步
7. 数据源选择mysql，点击一键建表，点击确定
8. 点击下一步，映射字段，再次点击下一步，点击保存，点击运行","1. 成功进入hadoop不对接或创建schema的项目中页面，页面内容正常加载显示，无报错
2. 系统提示任务新建成功，任务列表中出现新建的任务记录，状态为【待提交/草稿】
3. 系统提示任务保存成功，任务已保存至任务列表，可继续编辑或提交
4. 展示新建周期任务弹窗，其中周期任务类型、配置模型、同步模式置灰不可选
5. 新增配置数据同步任务标签页
【数据源】默认选中当前项目Hadoop的 meta 数据源
【schema】默认选中当前项目创建或对接的meta Schema
表名为空，可自行选择其他目标表
调度属性上游依赖显示上述spark sql任务
6. 进入选择目标页
数据同步目标选择ClickHouse源时表名后侧有一件建表按钮
7. 一键建表成功，表字段对应正确，内容与预期完全一致，无异常或错误
8. 数据同步任务新建完成，任务运行成功，数据正常同步至目标表内",2
离线开发-数据开发-数据同步,验证自动生成数据同步任务正常使用,无,"1. 进入hadoop不对接或创建schema的项目中
2. 新建spark sql任务
3. 输入
DROP TABLE if EXISTS test_001;
CREATE TABLE IF NOT EXISTS test_001 (
id INT,
big_id BIGINT,
float_value FLOAT,
double_value DOUBLE,
name STRING,
is_active BOOLEAN,
created_at TIMESTAMP
);
INSERT INTO test_001 VALUES
(1, 10000000001, 3.14, 2.71828, 'Alice', true, '2024-01-01 10:00:00'),
(2, 20000000002, 1.23, 4.56789, 'Bob', false, '2024-02-01 11:30:00'),
(3, 30000000003, 5.67, 8.91011, 'Charlie', true, '2024-03-01 12:45:00'),
(4, 40000000004, 9.01, 1.23456, 'David', false, '2024-04-01 14:00:00'),
(5, 50000000005, 2.34, 5.67890, 'Eve', true, '2024-05-01 15:15:00');
（或
INSERT OVERWRITE TABLE test_001 VALUES
(1, 10000000001, 3.14, 2.71828, 'Alice', true, '2024-01-01 10:00:00'),
(2, 20000000002, 1.23, 4.56789, 'Bob', false, '2024-02-01 11:30:00'),
(3, 30000000003, 5.67, 8.91011, 'Charlie', true, '2024-03-01 12:45:00'),
(4, 40000000004, 9.01, 1.23456, 'David', false, '2024-04-01 14:00:00'),
(5, 50000000005, 2.34, 5.67890, 'Eve', true, '2024-05-01 15:15:00');
）
后点击保存
4. 点击数据同步按钮
5. 输入周期任务名称test_tongbu_001点击确定
6. 其余选项输入正确的内容，点击下一步
7. 数据源选择clickhouse/mysql/oracle，点击一键建表，点击确定
8. 点击下一步，映射字段，再次点击下一步，点击保存，点击运行","1. 成功进入hadoop不对接或创建schema的项目中页面，页面内容正常加载显示，无报错
2. 系统提示任务新建成功，任务列表中出现新建的任务记录，状态为【待提交/草稿】
3. 系统提示任务保存成功，任务已保存至任务列表，可继续编辑或提交
4. 展示新建周期任务弹窗，其中周期任务类型、配置模型、同步模式置灰不可选
5. 新增配置数据同步任务标签页
【数据源】默认选中当前项目Hadoop的 meta 数据源
【schema】默认选中当前项目创建或对接的meta Schema
表名为test_001
调度属性上游依赖显示上述spark sql任务
6. 进入选择目标页
数据同步目标选择ClickHouse源时表名后侧有一件建表按钮
7. 一键建表成功，表字段对应正确，内容与预期完全一致，无异常或错误
8. 数据同步任务新建完成，任务运行成功，数据正常同步至目标表内",1
