所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-规则调度设置,验证编辑历史规则，配置「超时时间」功能正确,存在历史规则任务B,"1. 进入【资产-数据质量】页面
2. 选择【规则B】，点击编辑，进入【调度属性】页
3. 查看【超时时间】区域
4. 编辑【超时时间】选择【自定义】
5. 配置为：00时05分，保存规则，且【调度属性】中配置【规则报告】为最新结果
6. 临时运行规则，查看实例详情及质量报告
7. 查看任务状态","1. 页面正常打开
2. 页面正常打开
3. 默认选择为【不限制】
4. 弹出时间配置框，可配置小时、分钟
5. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
6. 运行时间超过5分钟，该任务被自动杀掉，不再运行，未生成质量报告
7. 显示为“中途停止”",3
数据资产-数据质量-规则调度设置,验证编辑不限制「超时时间」为自定义，功能正确,存在规则A为不限制「超时时间」,"1. 进入【资产-数据质量】页面
2. 选择【规则A】，点击编辑，进入【调度属性】页
3. 查看【超时时间】区域
4. 编辑【超时时间】选择【自定义】
5. 配置为：00时05分，保存规则，且【调度属性】中配置【规则报告】为最新结果
6. 临时运行规则，查看实例详情及质量报告
7. 查看任务状态","1. 页面正常打开
2. 页面正常打开
3. 显示为【不限制】
4. 弹出时间配置框，可配置小时、分钟
5. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
6. 运行时间超过5分钟，该任务被自动杀掉，不再运行，未生成质量报告
7. 显示为“中途停止”",2
数据资产-数据质量-规则调度设置,验证不限制「超时时间」功能正确,无,"1. 进入【资产-数据质量-规则任务配置-监控对象】页面
2. 【规则名称】输入【test_rule】
【选择数据源】选择【${DATASOURCE}】
【选择数据库】选择【${DATABASE}】
【选择数据表】选择【${TABLE}】
3. 正确配置【监控规则】，进入【调度属性】配置页
4. 正确配置【调度属性】，【超时时间】选择【不限制】，保存规则，且【调度属性】中配置【规则报告】为最新结果
5. 临时运行规则，查看实例详情及质量报告","1. 页面正常打开
2. 监控对象配置成功；
进入【监控规则】配置页
3. 页面正常打开
4. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
5. 生成正确实例详情，质量报告展示正确，内容与预期完全一致，无异常或错误",1
数据资产-数据质量-规则调度设置,验证运行时长小于「超时时间」功能正确,无,"1. 进入【资产-数据质量-规则任务配置-监控对象】页面
2. 【规则名称】输入【test_rule】
【选择数据源】选择【${DATASOURCE}】
【选择数据库】选择【${DATABASE}】
【选择数据表】选择【${TABLE}】
3. 正确配置【监控规则】，进入【调度属性】配置页
4. 正确配置【调度属性】，【超时时间】选择【自定义】
5. 配置为：10时00分，保存规则，且【调度属性】中配置【规则报告】为最新结果
6. 临时运行规则，查看实例详情及质量报告","1. 页面正常打开
2. 监控对象配置成功；
进入【监控规则】配置页
3. 页面正常打开
4. 弹出时间配置框，可配置小时、分钟
5. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
6. 运行时间小于10小时，生成正确实例详情，质量报告展示正确",2
数据资产-数据质量-规则调度设置,验证运行时长大于「超时时间」功能正确,无,"1. 进入【资产-数据质量-规则任务配置-监控对象】页面
2. 【规则名称】输入【test_rule】
【选择数据源】选择【${DATASOURCE}】
【选择数据库】选择【${DATABASE}】
【选择数据表】选择【${TABLE}】
3. 正确配置【监控规则】，进入【调度属性】配置页
4. 正确配置【调度属性】，【超时时间】选择【自定义】
5. 配置为：00时05分，保存规则，且【调度属性】中配置【规则报告】为最新结果
6. 临时运行规则，查看实例详情及质量报告
7. 查看任务状态","1. 页面正常打开
2. 监控对象配置成功；
进入【监控规则】配置页
3. 页面正常打开
4. 弹出时间配置框，可配置小时、分钟
5. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
6. 运行时间超过5分钟，该任务被自动杀掉，不再运行，未生成质量报告
7. 显示为“中途停止”",1
数据资产-数据质量-规则调度设置,验证「超时时间」配置内容交互,无,"1. 进入【资产-数据质量-规则任务管理-调度属性】页面
2. 查看区域配置内容
3. 鼠标悬浮“？”
4. 选择【自定义】
5. 点击小时下拉框
6. 点击分钟下拉框","1. 页面正常打开
2. 默认选择【不限制】
3. 悬浮提示：“任务运行时长大于超时时间时平台将对其强制杀死。”
4. 弹出时间配置框，可配置小时、分钟
5. 可选择“00～23”
6. 可选择“00～59”",2
数据资产-数据质量-规则调度设置,验证「调度属性」页面新增「超时时间」,无,"1. 进入【资产-数据质量-规则任务管理-调度属性】页面
2. 查看页面","1. 页面正常打开
2. 1）【调度配置】区域新增【超时时间】
2）可选择【不限制】和【自定义】",3
