所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证【其它历史内置规则】规则状态变更正常,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 选择【其它历史内置规则】, 开启所有规则状态
3. 进入【规则集管理】, 新建规则集-监控规则配置页面
4. 点击【添加规则】, 检查下拉框数据
5. 选择完整性校验, 检查校验规则块中可选的内置规则
6. 依次选择有效性校验、唯一性校验、统计性校验, 检查规则块中的可选内置规则
7. 在【规则库配置】中, 关闭完整性校验~统计性校验的内置规则
8. 重新进入【规则集管理】, 新建规则集-监控规则配置页面, 检查添加规则后的可选内置规则","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 开启成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 历史规则分类正常选择
5. 所有内置规则均可选择
6. 所有内置规则均可选择
7. 规则状态全部关闭
8. 已关闭的内置规则不再支持选择",2
数据资产-数据质量-内置规则库,验证【内置规则-单调递增、单调递减校验】规则状态变更正常,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 选择【内置规则-单调递增、单调递减校验】, 开启规则状态
3. 进入【规则集管理】, 新建规则集-监控规则配置页面
4. 选择合理性校验后, 检查校验规则配置项
5. 返回规则库配置, 关闭【内置规则-单调递增、单调递减校验】规则状态
6. 重新进入规则集管理, 配置监控规则, 选择一致性校验
7. 返回规则库配置, 筛选出所有【规则分类】为合理性校验的内置规则, 并关闭规则状态
8. 重新进入规则集管理, 配置监控规则","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 开启成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 1) 支持配置规则: 单调递增、单调递减校验
2) 选择该规则包的任务支持配置该内置规则
5. 关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 1) 合理性校验中: 不再支持配置规则(单调递增、单调递减校验)
2) 选择该规则包的任务也不支持配置该内置规则
7. 关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新
8. 1) 添加规则中不再支持: 合理性校验
2) 选择该规则包的任务也不支持配置该规则类型",1
数据资产-数据质量-内置规则库,验证【内置规则-多字段时间差校验&单字段时间差校验】规则状态变更正常,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 选择【内置规则-多字段时间差校验&单字段时间差校验】, 开启规则状态
3. 进入【规则集管理】, 新建规则集-监控规则配置页面
4. 点击【添加规则】
5. 添加时效性校验后, 检查校验规则配置项
6. 返回规则库配置, 关闭【内置规则-多字段时间差校验、单字段时间差校验】规则状态
7. 重新进入规则集管理, 配置监控规则, 选择时效性校验
8. 返回规则库配置, 筛选出所有【规则分类】为时效性校验的内置规则, 并关闭规则状态
9. 重新进入规则集管理, 配置监控规则","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 开启成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 新增三个规则分类: 1) 时效性校验2) 合理性校验
5. 1) 支持配置规则: 多字段时间差校验、单字段时间差校验2) 选择该规则包的任务也不支持配置该内置规则
6. 关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新
7. 1) 时效性校验中: 不再支持配置规则(多字段时间差校验、单字段时间差校验)2) 选择该规则包的任务也不支持配置该内置规则
8. 关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 1) 添加规则中不再支持: 时效性校验2) 选择该规则包的任务也不支持配置该规则类型",2
数据资产-数据质量-内置规则库,验证【导出规则库】中的内置规则正确,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 点击导出规则库并保存
3. 检查导出文件内容
4. 检查内置规则信息","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 包含新增内置规则: 1) 及时性校验2) 周期性校验3) 数据变化趋势不再显示隐藏规则:1) 重复值检测2) NULL值检测
4. 规则信息正确，内容与预期完全一致，无异常或错误",1
数据资产-数据质量-内置规则库,验证【合理性校验】筛选功能正常,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 规则分类分类筛选: 合理性校验
3. 规则分类分类筛选: 合理性校验 + 有效性校验
4. 重置后, 确定","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 筛选成功, 结果正确，内容与预期完全一致，无异常或错误
3. 组合筛选成功, 结果正确，内容与预期完全一致，无异常或错误
4. 筛选成功, 结果正确，内容与预期完全一致，无异常或错误",2
数据资产-数据质量-内置规则库,验证【时效性校验】筛选功能正常,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 规则分类分类筛选: 时效性校验
3. 规则分类分类筛选: 时效性校验 + 唯一性校验
4. 重置后, 确定","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 筛选成功, 结果正确，内容与预期完全一致，无异常或错误
3. 组合筛选成功, 结果正确，内容与预期完全一致，无异常或错误
4. 筛选成功, 结果正确，内容与预期完全一致，无异常或错误",2
数据资产-数据质量-内置规则库,验证新增规则分类正确,规则库配置列表已存在“一致性校验”、“时效性校验”、“合理性校验”的记录,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 点击规则分类筛选项","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 规则分类新增“一致性校验“、“时效性校验“、“合理性校验“",3
数据资产-数据质量-内置规则库,验证重复内置规则隐藏,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 检查内置规则列表
3. 进入【规则集管理】, 新建规则集-监控规则配置页面, 添加【有效性校验】规则
4. 检查有效性校验块的配置项","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1) 规则分类为【有效性校验】，规则名称为【重复值检测】、【null值检测】的规则隐藏，不做展示2) 规则状态默认为关闭状态
3. 系统提示添加成功，列表中出现新添加的记录，记录内容与填写一致
4. 不再支持选择重复值检测、NULL值检测的规则",2
数据资产-数据质量-内置规则库,验证新增内置规则,无,"1. 进入【数据资产】-【数据质量】-【规则库配置】页面
2. 检查内置规则列表
3. 检查新增内置规则: 及时性校验
4. 检查新增内置规则: 周期性校验
5. 检查新增内置规则: 数据变化趋势","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 新增3个内置规则
3. 1) 规则名称: 及时性校验2) 规则解释: 多字段时间差校验3) 规则分类: 时效性校验4) 关联范围: 字段5) 规则描述: 比较两个时间类型字段之间的时间差是否符合要求，支持校验多个字段组时间差
4. 1) 规则名称: 周期性校验2) 规则解释: 单字段时间差校验3) 规则分类: 时效性校验4) 关联范围: 字段5) 规则描述: 比较时间字段内相邻两行数据的时间差是否符合要求
5. 1) 规则名称: 数据变化趋势2) 规则解释: 单调递增、单调递减校验3) 规则分类: 合理性校验4) 关联范围: 字段5) 规则描述: 比较字段内数据排序后是否符合单调递增/单调递减的逻辑",1
