所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据模型,验证历史DATETIME字段精度正确,历史已存在doris表table1，字段col1的字段类型为DTATETIME,"1. 进入数据地图，搜索table1，查看表详情
2. 进入【数据模型-规范建表】，编辑table1，查看字段","1. 字段新增精度列，col1的精度值为0，其他字段展示--
2. 新增精度列，col1的精度值为0，不可编辑，其他字段展示--",2
数据资产-数据模型,验证doris编辑表功能,无,"1. 进入【数据模型-规范建表】，新建表，选择doris数据源，填写信息
2. 新增多个字段，col1、col2选择DATETIME、DATETIMEV2类型
3. col1精度为0，col2精度为6，建表
4. 编辑模型查看展示
5. 新增字段col3，col4，字段类型选择DATETIME、DATETIMEV2类型","1. 进入表结构步骤
2. 主键后新增精度列，col1、col2精度默认为0
3. 系统提示建表成功，数据库中成功创建该表，表结构与配置字段一致
4. 1）col1字段类型为DATETIME，精度为0，精度不可编辑2）col2字段类型为DATETIME，精度为6，精度不可编辑3）其他字段精度展示--
5. 可填写精度信息",2
数据资产-数据模型,验证DATETIMEV2、DATETIME类型设置精度后，建表成功,无,"1. 进入【数据模型-规范建表】，新建表，选择doris数据源，填写信息
2. 新增多个字段，col1、col2选择DATETIME、DATETIMEV2类型
3. col1精度为0，col2精度为6，建表
4. 查看表详情页","1. 进入表结构步骤
2. 主键后新增精度列，col1、col2精度默认为0
3. 系统提示建表成功，数据库中成功创建该表，表结构与配置字段一致
4. 字段新增精度列，col1字段类型为DATETIME，精度为0；col2字段类型为DATETIME，精度为6；其他字段精度展示--",1
数据资产-数据模型,验证DATETIMEV2、DATETIME类型支持设置精度,无,"1. 进入【数据模型-规范建表】，新建表，选择doris数据源，填写信息
2. 新增多个字段，col1、col2选择DATETIME、DATETIMEV2类型
3. 精度输入0、1、2、3、4、5、6
4. 精度输入小数、英文、特殊字符、负数、大于6的整数","1. 进入表结构步骤
2. 主键后新增精度列，col1、col2精度默认为0，其他字段精度展示--
3. 允许输入
4. 不允许输入",2
数据资产-数据模型,验证doris建表，字段类型新增DATETIMEV2,无,"1. 进入【数据模型-规范建表】，新建表，选择doris数据源，选择主键表，点击下一步
2. 新增字段，查看数据类型
3. 切换明细表/模型表，查看数据类型","1. 进入表结构步骤
2. 数据类型DATETIME下方新增类型为“DATETIMEV2”；
3. 数据类型DATETIME下方新增类型为“DATETIMEV2”；",2
