所属模块,用例标题,前置条件,步骤,预期结果,优先级
离线开发-数据开发,验证水印功能正常_关闭全局&下载水印,【公共管理-水印管理】关闭全局水印&下载、导出文件水印,"1. 进入【离线开发】，进入任意页面
2. 打开任意弹窗
3. 打开任意的删除二次确认弹窗
4. 进入【数据地图-数据资产】查看图表
5. 进入【数据开发-周期任务】页面，新建工作流任务，添加多个节点，查看页面
6. 进入【数据开发-周期任务】页面，新建任意任务A，保存并提交，新建任务B，添加任务A为依赖任务，保存并提交，查看【依赖视图】
7. 进入【数据开发-周期任务】页面，新建mysql任务A，保存并提交进行补数据运行，脚本如下：create table if not exists test_0618(id int ,name varchar(256),age int);create table if not exists test_0618_bak as select * from test_0618;
8. 进入【数据开发-周期任务】页面，新建一个sql任务B，临时运行DQL语句，下载查询结果","1. 页面不展示水印
2. 页面不展示水印
3. 页面不展示水印
4. 页面不展示水印
5. 页面不展示水印
6. 页面不展示水印
7. 1）【数据地图-查找数据】查看表test_0618详细中的血缘信息，页面不展示水印
2）【运维中心-补数据任务实例】查看任务A运行实例的详情，右键，页面不展示水印
8. 1）查询结果页面不展示水印
2）下载的查询结果文档打开不展示水印",2
离线开发-数据开发,验证水印功能正常_开启全局&下载水印_不勾选离线,【公共管理-水印管理】开启全局水印&下载、导出文件水印，但均不勾选离线,"1. 进入【离线开发】，进入任意页面
2. 打开任意弹窗
3. 打开任意的删除二次确认弹窗
4. 进入【数据地图-数据资产】查看图表
5. 进入【数据开发-周期任务】页面，新建工作流任务，添加多个节点，查看页面
6. 进入【数据开发-周期任务】页面，新建任意任务A，保存并提交，新建任务B，添加任务A为依赖任务，保存并提交，查看【依赖视图】
7. 进入【数据开发-周期任务】页面，新建mysql任务A，保存并提交进行补数据运行，脚本如下：create table if not exists test_0618(id int ,name varchar(256),age int);create table if not exists test_0618_bak as select * from test_0618;
8. 进入【数据开发-周期任务】页面，新建一个sql任务B，临时运行DQL语句，下载查询结果","1. 页面不展示水印
2. 页面不展示水印
3. 页面不展示水印
4. 页面不展示水印
5. 页面不展示水印
6. 页面不展示水印
7. 1）【数据地图-查找数据】查看表test_0618详细中的血缘信息，页面不展示水印
2）【运维中心-补数据任务实例】查看任务A运行实例的详情，右键，页面不展示水印
8. 1）查询结果页面不展示水印
2）下载的查询结果文档打开不展示水印",2
离线开发-数据开发,验证水印功能正常_开启全局&下载水印_勾选离线_内置水印,【公共管理-水印管理】开启全局水印&下载、导出文件水印，“水印形式”为“内置水印”，“水印内容”为“账号”,"1. 进入【离线开发】，进入任意页面
2. 打开任意弹窗
3. 打开任意的删除二次确认弹窗
4. 进入【数据地图-数据资产】查看图表
5. 进入【数据开发-周期任务】页面，新建工作流任务，添加多个节点，查看页面
6. 进入【数据开发-周期任务】页面，新建任意任务A，保存并提交，新建任务B，添加任务A为依赖任务，保存并提交，查看【依赖视图】
7. 进入【数据开发-周期任务】页面，新建mysql任务A，保存并提交进行补数据运行，脚本如下：create table if not exists test_0618(id int ,name varchar(256),age int);create table if not exists test_0618_bak as select * from test_0618;
8. 进入【数据开发-周期任务】页面，新建一个sql任务B，临时运行DQL语句，下载查询结果","1. 页面展示水印，内容为对应账号，不被遮挡
2. 页面展示水印，内容为对应账号，不被弹窗遮挡
3. 页面展示水印，内容为对应账号，不被弹窗遮挡
4. 页面展示水印，内容为对应账号，不被遮挡
5. 页面展示水印，内容为对应账号，不被遮挡
6. 页面展示水印，内容为对应账号，不被遮挡
7. 1）【数据地图-查找数据】查看表test_0618详细中的血缘信息，页面展示水印，内容为对应账号，不被遮挡
2）【运维中心-补数据任务实例】查看任务A运行实例的详情，右键，页面展示水印，内容为对应账号，不被弹窗遮挡
8. 1）下载文件格式只支持csv
2）查询结果页面页面展示水印，内容为对应账号，不被遮挡
3）下载的查询结果文档打开页面展示水印，内容为对应账号",1
离线开发-数据开发,验证水印功能正常_开启全局&下载水印_勾选离线_自定义水印,【公共管理-水印管理】开启全局水印&下载、导出文件水印，“水印形式”为“自定义水印”，“水印内容”为“1234554qwewere”,"1. 进入【离线开发】，进入任意页面
2. 打开任意弹窗
3. 打开任意的删除二次确认弹窗
4. 进入【数据地图-数据资产】查看图表
5. 进入【数据开发-周期任务】页面，新建工作流任务，添加多个节点，查看页面
6. 进入【数据开发-周期任务】页面，新建任意任务A，保存并提交，新建任务B，添加任务A为依赖任务，保存并提交，查看【依赖视图】
7. 进入【数据开发-周期任务】页面，新建mysql任务A，保存并提交进行补数据运行，脚本如下：create table if not exists test_0618(id int ,name varchar(256),age int);create table if not exists test_0618_bak as select * from test_0618;
8. 进入【数据开发-周期任务】页面，新建一个sql任务B，临时运行DQL语句，下载查询结果","1. 页面展示水印，内容为对应自定义内容，不被遮挡
2. 页面展示水印，内容为对应自定义内容，不被弹窗遮挡
3. 页面展示水印，内容为对应自定义内容，不被弹窗遮挡
4. 页面展示水印，内容为对应自定义内容，不被遮挡
5. 页面展示水印，内容为对应自定义内容，不被遮挡
6. 页面展示水印，内容为对应自定义内容，不被遮挡
7. 1）【数据地图-查找数据】查看表test_0618详细中的血缘信息，页面展示水印，内容为对应自定义内容，不被遮挡
2）【运维中心-补数据任务实例】查看任务A运行实例的详情，右键，页面展示水印，内容为对应自定义内容，不被弹窗遮挡
8. 1）下载文件格式只支持csv
2）查询结果页面页面展示水印，内容为对应自定义内容，不被遮挡
3）下载的查询结果文档打开页面展示水印，内容为对应自定义内容",1
