所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据模型,验证范围分区编辑功能,无,"1. 进入【范围分区编辑功能】页面
2. 编辑表模型第二步，修改范围分区的配置","1. 成功进入【范围分区编辑功能】页面，页面内容正常加载显示，无报错
2. 不允许编辑",2
数据资产-数据模型,验证审批中心，doris数据模型申请，审批详情信息是否正确,用户,"1. 进入审批中心-审批授权，查看待我审批、我已审批、全部审批页面，数据资产-数据模型申请中doris模型的审批详情
2. 查看我的申请，数据资产-数据模型申请中doris模型的审批详情","1. 成功进入审批中心-审批授权，查看待我审批、我已审批、全部审批页面，数据资产-数据模型申请中doris模型的审批详情，页面内容正常加载显示，无报错
2. 1. 功能均正常2. 主键表结构-所属标准、主键、非null、分区字段、分桶字段、分桶数3. 聚合表结构-所属标准、指标列、聚合类型、非null、分区字段、分桶字段、分桶数4. 明细表结构-所属标准、排序键、非null、分区字段、分桶字段、分桶数
  （补充：3. 1. 功能均正常2. 主键表结构-所属标准、主键、非null、分区字段、分桶字段、分桶数3. 聚合表结构-所属标准、指标列、聚合类型、非null、分区字段）",2
