所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-内置规则库,验证「数据质量」-「通用配置」页面权限控制功能正确,"1. 当前租户下已存在A、B、C三个用户(租户中心添加)
2. A、B、C三个用户均添加至质量项目并分配角色
3. A->管理员 B->数据开发 C->访客","1. 进入【资产】-【平台管理】-【角色管理】页面
2. 使用A用户登陆，并进入资产项目
3. 进入【数据质量】-【通用配置】-【报告关联维表设置】页面
4. 使用B用户登陆，并进入资产项目
5. 进入【数据质量】-【通用配置】-【报告关联维表设置】页面
6. 使用C用户登陆，并进入资产项目
7. 进入【数据质量】-【通用配置】-【报告关联维表设置】页面","1. 成功进入【资产】-【平台管理】-【角色管理】页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 进入页面成功，可查看并操作报告关联维表相关内容
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 进入失败，不具备任何权限
6. 成功进入目标页面，页面内容正常加载显示，无报错
7. 进入失败，不具备任何权限",1
数据资产-数据质量-内置规则库,验证「数据质量」-「质量报告」页面权限控制功能正确,"1. 当前租户下已存在A、B、C三个用户(租户中心添加)
2. A、B、C三个用户均添加至质量项目并分配角色
3. A->管理员 B->数据开发 C->访客","1. 进入【资产】-【平台管理】-【角色管理】页面
2. 使用A用户登陆，并进入资产项目
3. 进入【数据质量】-【质量报告】页面
4. 使用B用户登陆，并进入资产项目
5. 进入【数据质量】-【质量报告】页面
6. 使用C用户登陆，并进入资产项目
7. 进入【数据质量】-【质量报告】页面","1. 成功进入【资产】-【平台管理】-【角色管理】页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 进入页面成功，可查看并操作质量报告相关内容相关内容
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 进入页面成功，可查看并操作质量报告相关内容相关内容
6. 成功进入目标页面，页面内容正常加载显示，无报错
7. 进入页面成功，可查看但不可操作质量报告相关内容相关内容",2
数据资产-数据质量-内置规则库,验证「数据质量」-「任务实例查询」页面权限控制功能正确,"1. 当前租户下已存在A、B、C三个用户(租户中心添加)
2. A、B、C三个用户均添加至质量项目并分配角色
3. A->管理员 B->数据开发 C->访客","1. 进入【资产】-【平台管理】-【角色管理】页面
2. 使用A用户登陆，并进入资产项目
3. 进入【数据质量】-【任务实例查询】页面
4. 使用B用户登陆，并进入资产项目
5. 进入【数据质量】-【任务实例查询】页面
6. 使用C用户登陆，并进入资产项目
7. 进入【数据质量】-【任务实例查询】页面","1. 成功进入【资产】-【平台管理】-【角色管理】页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 进入页面成功，可查看并操作任务实例相关内容
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 进入页面成功，可查看并操作任务实例相关内容
6. 成功进入目标页面，页面内容正常加载显示，无报错
7. 进入页面成功，可查看但不可操作任务实例相关内容",2
数据资产-数据质量-内置规则库,验证「数据质量」-「规则任务配置」页面权限控制功能正确,"1. 当前租户下已存在A、B、C三个用户(租户中心添加)
2. A、B、C三个用户均添加至质量项目并分配角色
3. A->管理员 B->数据开发 C->访客","1. 进入【资产】-【平台管理】-【角色管理】页面
2. 使用A用户登陆，并进入资产项目
3. 进入【数据质量】-【规则任务配置】页面
4. 使用B用户登陆，并进入资产项目
5. 进入【数据质量】-【规则任务配置】页面
6. 使用C用户登陆，并进入资产项目
7. 进入【数据质量】-【规则任务配置】页面","1. 成功进入【资产】-【平台管理】-【角色管理】页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 进入页面成功，可查看并操作任务配置相关内容
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 进入页面成功，可查看并操作任务配置相关内容
6. 成功进入目标页面，页面内容正常加载显示，无报错
7. 进入页面成功，可查看但不可操作任务配置相关内容",2
数据资产-数据质量-内置规则库,验证「数据质量」-「规则库配置」页面权限控制功能正确,"1. 当前租户下已存在A、B、C三个用户(租户中心添加)
2. A、B、C三个用户均添加至质量项目并分配角色
3. A->管理员 B->数据开发 C->访客","1. 进入【资产】-【平台管理】-【角色管理】页面
2. 使用A用户登陆，并进入资产项目
3. 进入【数据质量】-【规则库配置】-【内置规则库】页面
4. 进入【数据质量】-【规则库配置】-【自定义规则】页面
5. 使用B用户登陆，并进入资产项目
6. 进入【数据质量】-【规则库配置】-【内置规则库】页面
7. 进入【数据质量】-【规则库配置】-【自定义规则】页面
8. 使用C用户登陆，并进入资产项目
9. 进入【数据质量】-【规则库配置】-【内置规则库】页面
10. 进入【数据质量】-【规则库配置】-【自定义规则】页面","1. 成功进入【资产】-【平台管理】-【角色管理】页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 进入页面成功，可查看并操作内置规则相关内容
4. 进入页面成功，可查看并操作自定义规则相关内容
5. 成功进入目标页面，页面内容正常加载显示，无报错
6. 进入页面成功，可查看并操作内置规则相关内容
7. 进入页面成功，可查看并操作自定义规则相关内容
8. 成功进入目标页面，页面内容正常加载显示，无报错
9. 进入页面成功，可查看但不可操作内置规则相关内容
10. 进入页面成功，可查看但不可操作自定义规则相关内容",1
数据资产-数据质量-内置规则库,验证「数据质量」-「概览」页面权限控制功能正确,"1. 当前租户下已存在A、B、C三个用户(租户中心添加)
2. A、B、C三个用户均添加至质量项目并分配角色
3. A->管理员 B->数据开发 C->访客","1. 进入【资产】-【平台管理】-【角色管理】页面
2. 使用A用户登陆，并进入资产项目
3. 进入【数据质量】-【概览】页面
4. 使用B用户登陆，并进入资产项目
5. 进入【数据质量】-【概览】页面
6. 使用C用户登陆，并进入资产项目
7. 进入【数据质量】-【概览】页面","1. 成功进入【资产】-【平台管理】-【角色管理】页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 进入页面成功，可查看所有内容
4. 成功进入目标页面，页面内容正常加载显示，无报错
5. 进入页面成功，可查看所有内容
6. 成功进入目标页面，页面内容正常加载显示，无报错
7. 进入页面成功，可查看所有内容",3
数据资产-数据质量-内置规则库,验证「质量模块」权限点位置调整正确,无,"1. 进入【资产】-【平台管理】-【角色管理】页面
2. 查看【质量报告】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 质量报告调整到“任务实例查询”下方",3
数据资产-数据质量-内置规则库,验证「质量模块」权限点名称调整正确,无,"1. 进入【资产】-【平台管理】-【角色管理】页面
2. 查看【数据质量】模块权限点名称","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 1. 原【规则配置】更新为【规则任务配置】2. 原【任务查询】更新为【任务实例查询】",3
