所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-多模态-文件管理,验证文件编目页面权限是否生效,无,"1. 进入【数据资产】-【角色管理】，查看角色展示
2. admin和管理员用户登陆，查看文件编目页面
3. 数据开发用户登陆，查看文件编目页面
4. 访客用户登陆，查看文件编目页面","1. 成功进入【数据资产】-【角色管理】，查看角色展示页面，页面内容正常加载显示，无报错
2. 有查看和操作权限
3. 有查看和操作权限
4. 只有查看没有操作权限",2
数据资产-多模态-文件管理,验证上传记录页面权限是否生效,无,"1. 进入【数据资产】-【角色管理】，查看角色展示
2. admin和管理员用户登陆，查看上传记录页面
3. 数据开发用户登陆，查看上传记录页面
4. 访客用户登陆，查看上传记录页面","1. 成功进入【数据资产】-【角色管理】，查看角色展示页面，页面内容正常加载显示，无报错
2. 有查看和操作权限
3. 有查看和操作权限
4. 只有查看没有操作权限",2
数据资产-多模态-文件管理,验证文件管理页面权限是否生效,无,"1. 进入【数据资产】-【角色管理】，查看角色展示
2. admin和管理员用户登陆，查看文件管理页面
3. 数据开发用户登陆，查看文件管理页面
4. 访客用户登陆，查看文件管理页面","1. 成功进入【数据资产】-【角色管理】，查看角色展示页面，页面内容正常加载显示，无报错
2. 有查看和操作权限
3. 有查看和操作权限
4. 只有查看没有操作权限",1
数据资产-多模态-文件管理,验证数据资产新增非结构化权限点功能,无,"1. 进入【数据资产】-【角色管理】，查看角色展示
2. 进入【数据资产】，右上角设置按钮-【角色管理】，查看资产新增权限点功能","1. 1）新增非结构化权限点，有文件管理、上传记录、文件编目，每个功能有操作和查看权限2）访客没有文件管理、上传记录、文件编目的操作权限，为X，其他的都为✅
2. 1）新增非结构化权限点，有文件管理、上传记录、文件编目，每个功能有操作和查看权限2）访客没有文件管理、上传记录、文件编目的操作权限，为X，其他的都为✅",2
数据资产-多模态-文件管理,验证数据资产角色按最新菜单调整功能,权限点文档：https://dtstack.yuque.com/rd-center/dataassets/hhd59nsg1489zx1r#3Keq,"1. 进入【数据资产】-【角色管理】，查看角色展示
2. 进入【数据资产】-右上角设置按钮-【角色管理】，查看资产角色展示","1. 角色名称、位置、及勾选状况展示和权限点文档一致
2. 角色名称、位置、及勾选状况展示和权限点文档一致",2
