所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据质量-规则任务配置,验证【任务实例查询】页面-隐藏「规则类型」字段,无,"1. 进入数据资产-质量-任务实例查询页面
2. UI CHECK","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 隐藏【规则类型】字段",3
数据资产-数据质量-规则任务配置,验证「新建监控规则」-任务实例运行逻辑正确,"1. 已存在Mysql数据源
2. 数据源下存在database.tableA
3. tableA DDL/DML如下
create table if not exists database.tableA(id int,name varchar(255),age int);
insert into database.tableA values
(1,'张三',17),
(2,'李四',18),
(3,'王五',19),
(4,'找六',20),
(5,'张三2',21),
(6,'张三4',22),
(7,'李四2',23),
(8,'王五2',24),
(9,'找六2',25),
(10,'张三5',26);","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮，进入监控规则配置页面
3. 配置【数据源】【数据库】【数据表】等信息，选择【完整性校验】规则
4. 【校验类型】选择【单表】
【字段】选择【id】
【统计函数】 选择【空值数】
【过滤条件】 输入【id < 100】
【校验方法】选择【固定值】
【期望值】选择【<=0】
【强弱规则】选择【弱规则】
【规则描述】输入【测试规则】
5. 点击【保存】按钮
6. 点击【下一步】，配置【周期任务】
7. 点击【完成】按钮
8. 立即运行、周期运行","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 成功进入目标页面，页面内容正常加载显示，无报错
3. 选择成功，展示【完整性校验】规则配置项
4. 配置完成
5. 规则配置成功保存，配置内容与填写内容完全一致，页面正常展示
6. 周期调度配置完成
7. 系统提示规则保存成功，规则配置已持久化，列表中可见该规则
8. 实例状态更新为【运行成功】，运行日志无报错，运行结果符合预期",1
数据资产-数据质量-规则任务配置,验证「新建监控规则」流程正确,"1. 待测数据源hive2.x/doris2.x(多级分区)
2. 平台管理${datasource_type} 已授权当前项目，并且数据源下存在database1,database2两个库
3. 「设置默认监控源库」已配置${datasource_type} /database1","1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮
3. 【规则名称】输入“test”
【选择数据源】自动引入【datasource_type】
【选择数据库】自动引入【database1】
【选择数据表】 选择 【table】
【输入分区】 选择【选择已有分区】-常规表/多级分区表
4. 点击【下一步】，配置【周期调度】，完成
5. 立即运行任务
6. 选择“test”规则，编辑修改【选择数据源】【选择数据库】【数据表】
7. 保存配置，下一步，完成
8. 立即运行任务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 直接进入【监控对象】配置页面
3. 配置完成
4. 系统提示配置成功，配置项已生效，页面显示最新配置状态
5. 任务实例结果正确，内容与预期完全一致，无异常或错误
6. 系统提示修改成功，页面显示修改后的最新内容
7. 修改配置信息完成
8. 任务实例结果正确(校验库表修改成功)",2
数据资产-数据质量-规则任务配置,验证「监控对象」配置页面-「手动输入分区」「选择已有分区」位置调换,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮
3. UI CHECK","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 直接进入【监控对象】配置页面
3. 【选择已有分区】移动到【手动输入分区】左边",3
数据资产-数据质量-规则任务配置,验证「设置默认监控数据源库」后，删除数据源库逻辑正确,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【设置默认监控数据源库】按钮，配置【默认监控数据源】【默认监控数据库】
3. 新建【质量校验规则】A
4. 配置规则，保存
5. 立即运行规则任务A
6. 已配置的数据源，【平台管理】取消授权当前项目
7. 点击【设置默认监控数据源库】
8. 重新运行规则任务A
9. 重新【新建规则校验】任务","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 自动引入默认配置的源库
4. 规则配置完成
5. 运行结果正确，内容与预期完全一致，无异常或错误
6. 操作正常，功能行为符合预期，无报错或异常
7. 展示为空
8. 任务运行失败
9. 不自动引入原先设置的默认源库",1
数据资产-数据质量-规则任务配置,验证「设置默认监控数据源库」功能正确,需要测试数据源Mysql/Hive/Doris,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【设置默认监控数据源库】按钮
3. UI CHECK
4. 点击【默认监控数据源】
5. 点击【默认监控数据库】
6. 选择【默认监控数据源】【默认监控数据库】，点击【确定】按钮
7. 再次点击【设置默认监控数据源库】按钮
8. 编辑默认选择的源库，确认修改","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 弹【设置默认监控源库】弹窗
3. 展示【默认监控数据源】【默认监控数据库】【取消】【确定】按钮
4. 仅展示平台引入且已授权给当前项目的数据源
5. 仅展示【默认监控数据源】下的数据库
6. 配置成功，弹窗关闭，创建规则时，自动带入已配置的默认源库
7. 已配置的源库回显正确，内容与预期完全一致，无异常或错误
8. 修改成功，创建规则时，自动引入的默认源库更新正确，内容与预期完全一致，无异常或错误",2
数据资产-数据质量-规则任务配置,验证「新建监控规则」下拉框新增「设置默认监控数据源库」按钮,无,"1. 进入数据资产-质量-规则任务配置页面
2. UI CHECK","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 【新建监控规则】下拉框新增【设置默认监控数据源库】按钮",3
数据资产-数据质量-规则任务配置,验证「新建监控规则」取消-单表多表形式下拉框,无,"1. 进入数据资产-质量-规则任务配置页面
2. 点击【新建监控规则】按钮","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 直接进入【监控对象】配置页面",3
数据资产-数据质量-规则任务配置,验证【规则任务配置】页面-隐藏「规则类型」字段,无,"1. 进入数据资产-质量-规则任务配置页面
2. UI CHECK","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 隐藏【规则类型】字段",3
